Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Avers, Jason",Sun Belt,Appalachian St.,Fr,C,,,27,0.182,0.333,0.227,0,0.045,0,0,25.93,18.52,-7.41,0.267,0.272,-1,2
"Aviles, Luis",Conference USA,Rice,Fr,C,,,12,0.091,0.167,0.091,0,0,0,0,25,8.33,-16.67,0.125,0.131,-2,-1
"Avitia, David",Western Athletic,Grand Canyon,Fr,C,,,24,0.368,0.5,0.421,0,0.053,0,0,16.67,20.83,4.16,0.467,0.415,2,5
"Avventino, Brenden",Big West,UC Riverside,Fr,UT,,,12,0.167,0.167,0.167,0,0,0,0,25,0,-25,0.222,0.146,-2,0
"Ayers, Chris",Missouri Valley,Indiana St.,Jr,OF,,,67,0.23,0.284,0.328,1,0.098,0,0,37.31,2.99,-34.32,0.371,0.274,-3,5
"Babin, Ty",Big South,Campbell,Fr,C,,,41,0.25,0.317,0.306,0,0.056,3,3,12.2,7.32,-4.88,0.29,0.285,-2,3
"Bacon, Andrew",Horizon,Northern Ky.,Fr,INF,,,34,0.2,0.294,0.333,1,0.133,0,0,20.59,11.76,-8.83,0.227,0.28,-2,3
"Bacon, Connor",ACC,Boston College,Jr,OF,,,2,0,0,0,0,0,0,0,100,0,-100,NA,0,-1,0
"Badaraco, Edgar",ASUN,NJIT,Sr,C,,,29,0.08,0.207,0.08,0,0,0,0,37.93,13.79,-24.14,0.143,0.156,-4,-1
"Badger, Landon",Summit League,South Dakota St.,So,OF,,,99,0.268,0.354,0.329,0,0.061,6,9,23.23,12.12,-11.11,0.367,0.314,-2,10
