Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,Pitches,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,ERA,FIP
"Bahlinger, Christian",Southland,Nicholls St.,Sr,P,,,66.1,289,1030,16.96,6.57,10.39,0.271,0.339,0.365,0.311,21.11,26.3,4.61,3.57
"Bahm, Zack",Ivy League,Columbia,Sr,P,,,18.2,87,306,11.49,9.2,2.29,0.325,0.391,0.636,0.424,21.84,26.44,7.23,5.67
"Baier, Joe",Western Athletic,Chicago St.,Jr,INF,,,3,17,35,0,5.88,-5.88,0.4,0.471,0.6,0.46,29.41,23.53,12,9.48
"Bailey, Charles",Southwestern,Southern U.,So,P,,,15.2,95,225,8.42,18.95,-10.53,0.348,0.526,0.5,0.451,22.11,14.74,9.19,9.13
"Bailey, Chase",American East,UMBC,Sr,P,,,54.1,257,666,19.46,8.95,10.51,0.282,0.366,0.449,0.35,15.56,25.29,5.8,4.57
"Bailey, Garrett",Ivy League,Cornell,Fr,P,,,2.1,14,33,7.14,0,7.14,0.5,0.5,0.571,0.465,28.57,14.29,11.57,2.19
"Bailey, Logan",Conference USA,Louisiana Tech,Jr,P,,,76.1,316,848,18.99,5.38,13.61,0.252,0.297,0.336,0.277,20.25,28.48,2.24,3.12
"Baille, Davis",Pac 12,Washington St.,So,P,,,14,66,156,15.15,10.61,4.54,0.373,0.439,0.559,0.427,15.15,25.76,7.07,5.08
"Bain, Austin",SEC,LSU,Sr,P,,,21.2,95,398,25.26,8.42,16.84,0.244,0.316,0.366,0.298,7.37,32.63,4.15,4.14
"Bair, Carter",Conference USA,Middle Tenn,Jr,P,,,15,77,196,20.78,18.18,2.6,0.311,0.455,0.59,0.444,19.48,14.29,9,8.55
"Baird, Butch",Mid American,Ohio,Sr,P,,,44.1,195,318,21.03,9.23,11.8,0.26,0.349,0.414,0.334,18.97,24.1,5.08,4.69
"Baird, Cam",Sun Belt,Texas State,Sr,P,2018,597,30,152,451,17.76,7.24,10.52,0.364,0.441,0.465,0.396,21.71,14.47,8.4,3.78
"Baird, Dustin",Ivy League,Brown,So,P,,,8,47,89,14.89,8.51,6.38,0.405,0.532,0.757,0.536,2.13,29.79,14.62,11.65
"Baird, Michael",Missouri Valley,Southern Ill.,Sr,P,2018,693,99.2,416,1411,22.12,4.81,17.31,0.251,0.288,0.389,0.289,24.04,21.88,3.16,3.23
"Baker, Andrew",SEC,Florida,So,OF,,,33.1,149,497,21.48,13.42,8.06,0.213,0.342,0.287,0.293,26.85,16.11,4.86,4.66
"Baker, Brandon",Sun Belt,Georgia St.,Sr,P,,,40,184,530,24.46,17.93,6.53,0.208,0.353,0.285,0.297,15.22,22.28,6.08,4.17
"Baker, Hunter",Southern,Furman,Sr,P,,,1,10,36,0,20,-20,0.5,0.7,0.667,0.582,0,30,27,15.15
"Baker, John",Mid American,Ball St.,So,P,,,95.1,394,1257,29.95,8.38,21.57,0.225,0.302,0.329,0.28,17.51,20.56,3.68,2.64
"Baker, Justin",Colonial,Col. of Charleston,Sr,P,,,39.2,157,605,23.57,3.82,19.75,0.211,0.268,0.246,0.233,26.75,21.02,1.59,2.18
"Baker, Kevin",West Coast,Portland,Jr,P,,,11,42,160,26.19,0,26.19,0.214,0.214,0.333,0.231,19.05,33.33,2.45,1.15
