Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Artz, Jake",Atlantic 10,Saint Josephs,Fr,OF,,,21,0.167,0.238,0.222,0,0.055,1,1,33.33,4.76,-28.57,0.25,0.21,-2,0
"Asbill, Josh",Big South,Charleston So.,Fr,INF,,,7,0.286,0.286,0.571,0,0.285,0,0,0,0,0,0.286,0.35,0,1
"Asher, Brooks",Big 12,Kansas,So,C,,,3,0.333,0.333,0.333,0,0,0,0,33.33,0,-33.33,0.5,0.293,0,0
"Ashford, Zach",Mountain West,Fresno St.,Jr,OF,,,55,0.277,0.358,0.362,0,0.085,1,2,23.64,5.45,-18.19,0.382,0.322,-1,6
"Ashley, Drew",Big 10,Indiana,Fr,C,,,37,0.357,0.441,0.393,0,0.036,1,1,16.22,10.81,-5.41,0.435,0.371,1,6
"Aslett, Ben",OVC,UT Martin,Sr,INF,,,28,0.375,0.464,0.5,0,0.125,0,0,14.29,14.29,0,0.45,0.42,2,5
"Assante, Anthony",Metro Atlantic,Saint Peters,Sr,P,,,13,0.308,0.308,0.308,0,0,0,0,15.38,0,-15.38,0.364,0.27,-1,1
"Asta, Matt",Western Athletic,Grand Canyon,Jr,C,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Athey, Jeff",Big 10,Nebraska,Fr,INF,,,9,0,0.333,0,0,0,0,0,0,11.11,11.11,0,0.237,-1,0
"Atkins, Grant",OVC,Jacksonville St.,Fr,OF,,,17,0.062,0.118,0.062,0,0,0,0,29.41,5.88,-23.53,0.091,0.092,-3,-1
"Atkins, Nick",Mountain West,New Mexico,Fr,INF,,,13,0.154,0.154,0.154,0,0,0,0,30.77,0,-30.77,0.222,0.135,-2,-1
"Atterbury, Jalen",Mid-Eastern,Savannah St.,Jr,2B,,,20,0.105,0.15,0.105,0,0,0,1,35,5,-30,0.167,0.122,-4,-1
"Aucker, Aaron",Conference USA,Middle Tenn,Sr,INF,,,65,0.293,0.369,0.638,6,0.345,0,0,26.15,6.15,-20,0.314,0.422,5,13
"Ausmus, Rainer",Big 12,Kansas State,Jr,INF,,,49,0.19,0.306,0.333,1,0.143,0,0,14.29,14.29,0,0.206,0.288,-2,4
