Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Arias, Jaime",Mountain West,Fresno St.,Fr,P,,,52.2,205,23.9,3.9,20,0.202,0.249,0.372,0.266,19.02,30.24,4.26
"Arjona, Kyle",Southland,New Orleans,Jr,P,,,46,203,23.15,4.43,18.72,0.277,0.315,0.391,0.304,26.11,16.26,3.08
"Armstrong, Caleb",Sun Belt,Louisiana,So,P,,,4.7,44,20.45,25,-4.55,0.308,0.545,0.538,0.466,18.18,2.27,15.06
"Armstrong, Trevor",Summit League,Fort Wayne,Fr,P,,,20,101,8.91,11.88,-2.97,0.301,0.366,0.398,0.329,24.75,23.76,5.35
"Armstrong, Walker",Big West,CSUN,Jr,P,,,55.1,234,17.95,8.12,9.83,0.255,0.333,0.363,0.308,32.48,14.53,3.98
"Arneth, Anthony",Metro Atlantic,Rider,Jr,P,,,36.1,224,12.95,12.5,0.45,0.32,0.411,0.5,0.385,14.29,26.79,6.25
"Arnold, Austin",Ivy League,Cornell,Jr,P,,,3.8,28,21.43,7.14,14.29,0.292,0.357,0.417,0.335,3.57,35.71,5.78
"Arnold, Hayden",Sun Belt,Little Rock,Fr,P,,,37.1,149,24.16,10.07,14.09,0.178,0.255,0.264,0.232,25.5,21.48,2.77
"Arnold, Josh",Metro Atlantic,Fairfield,So,P,,,52.5,248,16.94,11.69,5.25,0.246,0.347,0.379,0.321,23.39,23.79,4.48
"Arnone, Riley",Big South,Winthrop,Sr,P,,,104.9,574,12.37,9.41,2.96,0.307,0.375,0.431,0.348,20.21,26.48,5.02
"Arntsen, Steve",Metro Atlantic,Manhattan,Sr,P,,,48.9,286,12.24,10.14,2.1,0.328,0.392,0.502,0.376,23.43,20.98,5.07
"Ash, Konnor",SEC,Missouri,Fr,P,,,9,43,20.93,16.28,4.65,0.361,0.465,0.639,0.466,11.63,20.93,7.81
"Ashkinos, Jacob",Big 12,Baylor,So,P,,,12.2,67,17.91,14.93,2.98,0.345,0.448,0.545,0.422,8.96,26.87,4.95
